split,source_root,original_sample_id,sample_id,group,instance,problem_boxes,number_boxes,answer_boxes,image,label,metadata
train,E:\Banco de Preguntas\2. GEOMETRIA\1. Cuzcano\Julio Orihuela\S11-Áreas_de_regiones_planas\temporales\propuestos\datasets\problem_detector_corrections,areas-de-regiones-planas__propuestos__p0331__S11-_reas_de_reg_870640012a,398b5b8d_0398cbbe344b2a94,,,5,4,5,images/train/398b5b8d_0398cbbe344b2a94.png,labels/train/398b5b8d_0398cbbe344b2a94.txt,metadata/train/398b5b8d_0398cbbe344b2a94.json
train,E:\Banco de Preguntas\2. GEOMETRIA\1. Cuzcano\Julio Orihuela\S11-Áreas_de_regiones_planas\temporales\propuestos\datasets\problem_detector_corrections,areas-de-regiones-planas__propuestos__p0309__S11-_reas_de_reg_25050d1aa2,398b5b8d_03d6a2d8be430ed7,,,6,5,5,images/train/398b5b8d_03d6a2d8be430ed7.png,labels/train/398b5b8d_03d6a2d8be430ed7.txt,metadata/train/398b5b8d_03d6a2d8be430ed7.json
train,E:\Banco de Preguntas\2. GEOMETRIA\1. Cuzcano\Julio Orihuela\S11-Áreas_de_regiones_planas\temporales\propuestos\datasets\problem_detector_corrections,areas-de-regiones-planas__propuestos__p0327__S11-_reas_de_reg_3f4a6da724,398b5b8d_07ddb7cc61ec10f5,,,8,6,6,images/train/398b5b8d_07ddb7cc61ec10f5.png,labels/train/398b5b8d_07ddb7cc61ec10f5.txt,metadata/train/398b5b8d_07ddb7cc61ec10f5.json
train,E:\Banco de Preguntas\2. GEOMETRIA\1. Cuzcano\Julio Orihuela\S11-Áreas_de_regiones_planas\temporales\propuestos\datasets\problem_detector_corrections,areas-de-regiones-planas__propuestos__p0317__S11-_reas_de_reg_35535d7e2e,398b5b8d_0976462be0a0cd4d,,,7,5,6,images/train/398b5b8d_0976462be0a0cd4d.png,labels/train/398b5b8d_0976462be0a0cd4d.txt,metadata/train/398b5b8d_0976462be0a0cd4d.json
train,E:\Banco de Preguntas\2. GEOMETRIA\1. Cuzcano\Julio Orihuela\S11-Áreas_de_regiones_planas\temporales\propuestos\datasets\problem_detector_corrections,areas-de-regiones-planas__propuestos__p0324__S11-_reas_de_reg_5f0b61798a,398b5b8d_0c347b0a862c5ce1,,,8,6,6,images/train/398b5b8d_0c347b0a862c5ce1.png,labels/train/398b5b8d_0c347b0a862c5ce1.txt,metadata/train/398b5b8d_0c347b0a862c5ce1.json
train,E:\Banco de Preguntas\2. GEOMETRIA\1. Cuzcano\Julio Orihuela\S11-Áreas_de_regiones_planas\temporales\propuestos\datasets\problem_detector_corrections,areas-de-regiones-planas__propuestos__p0342__S11-_reas_de_reg_fc9ee81841,398b5b8d_0eeedac930b76cdd,,,7,5,5,images/train/398b5b8d_0eeedac930b76cdd.png,labels/train/398b5b8d_0eeedac930b76cdd.txt,metadata/train/398b5b8d_0eeedac930b76cdd.json
train,E:\Banco de Preguntas\2. GEOMETRIA\1. Cuzcano\Julio Orihuela\S11-Áreas_de_regiones_planas\temporales\propuestos\datasets\problem_detector_corrections,areas-de-regiones-planas__propuestos__p0311__S11-_reas_de_reg_fd2a3808f8,398b5b8d_14db60173f814d7f,,,6,5,4,images/train/398b5b8d_14db60173f814d7f.png,labels/train/398b5b8d_14db60173f814d7f.txt,metadata/train/398b5b8d_14db60173f814d7f.json
train,E:\Banco de Preguntas\2. GEOMETRIA\1. Cuzcano\Julio Orihuela\S11-Áreas_de_regiones_planas\temporales\propuestos\datasets\problem_detector_corrections,areas-de-regiones-planas__propuestos__p0351__S11-_reas_de_reg_964f736c59,398b5b8d_19d7b7579c1316d8,,,6,5,6,images/train/398b5b8d_19d7b7579c1316d8.png,labels/train/398b5b8d_19d7b7579c1316d8.txt,metadata/train/398b5b8d_19d7b7579c1316d8.json
train,E:\Banco de Preguntas\2. GEOMETRIA\1. Cuzcano\Julio Orihuela\S11-Áreas_de_regiones_planas\temporales\propuestos\datasets\problem_detector_corrections,areas-de-regiones-planas__propuestos__p0302__S11-_reas_de_reg_a772bfef2f,398b5b8d_26b32a09f6fc58e2,,,7,5,6,images/train/398b5b8d_26b32a09f6fc58e2.png,labels/train/398b5b8d_26b32a09f6fc58e2.txt,metadata/train/398b5b8d_26b32a09f6fc58e2.json
train,E:\Banco de Preguntas\2. GEOMETRIA\1. Cuzcano\Julio Orihuela\S11-Áreas_de_regiones_planas\temporales\propuestos\datasets\problem_detector_corrections,areas-de-regiones-planas__propuestos__p0347__S11-_reas_de_reg_9049c1c4ba,398b5b8d_26df7c15db374402,,,7,7,7,images/train/398b5b8d_26df7c15db374402.png,labels/train/398b5b8d_26df7c15db374402.txt,metadata/train/398b5b8d_26df7c15db374402.json
